index,item_id,movie_name
1,597,Pretty Woman
2,1204,Lawrence of Arabia
3,1088,Dirty Dancing
4,3507,"Odd Couple, The"
5,356,Forrest Gump
6,1961,Rain Man
7,2761,"Iron Giant, The"
8,2762,"Sixth Sense, The"
9,590,Dances with Wolves
10,2858,American Beauty
11,1610,"Hunt for Red October, The"
12,3334,Key Largo
13,2490,Payback
14,1028,Mary Poppins
15,1214,Alien
16,2657,"Rocky Horror Picture Show, The"
17,1101,Top Gun
18,47,Seven (Se7en)
19,2700,"South Park: Bigger, Longer and Uncut"
20,3114,Toy Story 2
21,1097,E.T. the Extra-Terrestrial
22,1073,Willy Wonka and the Chocolate Factory
23,2858,American Beauty
24,1617,L.A. Confidential
25,1214,Alien
26,2762,"Sixth Sense, The"
27,1,Toy Story
28,2858,American Beauty
29,260,Star Wars: Episode IV - A New Hope
30,3578,Gladiator
31,356,Forrest Gump
32,32,Twelve Monkeys
33,3578,Gladiator
34,2161,"NeverEnding Story, The"
35,920,Gone with the Wind
36,1610,"Hunt for Red October, The"
37,1307,When Harry Met Sally...
38,1036,Die Hard
39,2324,Life Is Beautiful (La Vita ̬ bella)
40,1394,Raising Arizona
41,318,"Shawshank Redemption, The"
42,2959,Fight Club
43,1276,Cool Hand Luke
44,2028,Saving Private Ryan
45,780,Independence Day (ID4)
46,3114,Toy Story 2
47,1019,"20,000 Leagues Under the Sea"
48,2321,Pleasantville
49,2762,"Sixth Sense, The"
50,349,Clear and Present Danger
51,2944,"Dirty Dozen, The"
52,3481,High Fidelity
53,2599,Election
54,1214,Alien
55,2762,"Sixth Sense, The"
56,2396,Shakespeare in Love
57,1036,Die Hard
58,3578,Gladiator
59,2160,Rosemary's Baby
60,3753,"Patriot, The"
61,1213,GoodFellas
62,2395,Rushmore
63,3952,"Contender, The"
64,2617,"Mummy, The"
65,589,Terminator 2: Judgment Day
66,2918,Ferris Bueller's Day Off
67,924,2001: A Space Odyssey
68,1210,Star Wars: Episode VI - Return of the Jedi
69,1200,Aliens
70,3578,Gladiator
71,608,Fargo
72,356,Forrest Gump
73,3910,Dancer in the Dark
74,1088,Dirty Dancing
75,296,Pulp Fiction
76,1221,"Godfather: Part II, The"
77,1394,Raising Arizona
78,3863,"Cell, The"
79,1210,Star Wars: Episode VI - Return of the Jedi
80,2070,Tender Mercies
81,2762,"Sixth Sense, The"
82,1247,"Graduate, The"
83,110,Braveheart
84,2997,Being John Malkovich
85,1223,"Grand Day Out, A"
86,3095,"Grapes of Wrath, The"
87,2762,"Sixth Sense, The"
88,318,"Shawshank Redemption, The"
89,3481,High Fidelity
90,50,"Usual Suspects, The"
91,780,Independence Day (ID4)
92,110,Braveheart
93,1307,When Harry Met Sally...
94,1230,Annie Hall
95,3751,Chicken Run
96,553,Tombstone
97,1198,Raiders of the Lost Ark
98,1136,Monty Python and the Holy Grail
99,589,Terminator 2: Judgment Day
100,2028,Saving Private Ryan
101,1784,As Good As It Gets
102,3911,Best in Show
103,2644,Dracula
104,480,Jurassic Park
105,3624,Shanghai Noon
106,2968,Time Bandits
107,1221,"Godfather: Part II, The"
108,2762,"Sixth Sense, The"
109,3578,Gladiator
110,3301,"Whole Nine Yards, The"
111,2791,Airplane!
112,1240,"Terminator, The"
113,593,"Silence of the Lambs, The"
114,1947,West Side Story
115,3175,Galaxy Quest
116,112,Rumble in the Bronx
117,1625,"Game, The"
118,2959,Fight Club
119,2791,Airplane!
120,2959,Fight Club
121,344,Ace Ventura: Pet Detective
122,3893,Nurse Betty
123,2396,Shakespeare in Love
124,1036,Die Hard
125,1294,M*A*S*H
126,1580,Men in Black
127,589,Terminator 2: Judgment Day
128,2959,Fight Club
129,1235,Harold and Maude
130,3948,Meet the Parents
131,2858,American Beauty
132,2193,Willow
133,541,Blade Runner
134,1923,There's Something About Mary
135,2028,Saving Private Ryan
136,39,Clueless
137,2916,Total Recall
138,2396,Shakespeare in Love
139,3552,Caddyshack
140,2683,Austin Powers: The Spy Who Shagged Me
141,3075,Repulsion
142,329,Star Trek: Generations
143,296,Pulp Fiction
144,3176,"Talented Mr. Ripley, The"
145,2716,Ghostbusters
146,3384,"Taking of Pelham One Two Three, The"
147,1270,Back to the Future
148,3435,Double Indemnity
149,1089,Reservoir Dogs
150,1580,Men in Black
151,3578,Gladiator
152,1466,Donnie Brasco
153,541,Blade Runner
154,2997,Being John Malkovich
155,858,"Godfather, The"
156,3893,Nurse Betty
157,457,"Fugitive, The"
158,3952,"Contender, The"
159,1028,Mary Poppins
160,1992,Child's Play 2
161,838,Emma
162,2599,Election
163,3481,High Fidelity
164,3897,Almost Famous
165,1997,"Exorcist, The"
166,480,Jurassic Park
167,2021,Dune
168,3578,Gladiator
169,316,Stargate
170,1230,Annie Hall
171,1213,GoodFellas
172,3160,Magnolia
173,2987,Who Framed Roger Rabbit?
174,3481,High Fidelity
175,2858,American Beauty
176,778,Trainspotting
177,1923,There's Something About Mary
178,1219,Psycho
179,1263,"Deer Hunter, The"
180,1200,Aliens
181,2791,Airplane!
182,3861,"Replacements, The"
183,3878,X: The Unknown
184,1200,Aliens
185,3556,"Virgin Suicides, The"
186,1573,Face/Off
187,527,Schindler's List
188,3175,Galaxy Quest
189,318,"Shawshank Redemption, The"
190,3578,Gladiator
191,2355,"Bug's Life, A"
192,3176,"Talented Mr. Ripley, The"
193,2858,American Beauty
194,1199,Brazil
195,1200,Aliens
196,593,"Silence of the Lambs, The"
197,3176,"Talented Mr. Ripley, The"
198,3911,Best in Show
199,1380,Grease
200,2916,Total Recall
201,930,Notorious
202,2000,Lethal Weapon
203,318,"Shawshank Redemption, The"
204,1240,"Terminator, The"
205,1124,On Golden Pond
206,3897,Almost Famous
207,3949,Requiem for a Dream
208,2918,Ferris Bueller's Day Off
209,2797,Big
210,2000,Lethal Weapon
211,1210,Star Wars: Episode VI - Return of the Jedi
212,1240,"Terminator, The"
213,1214,Alien
214,2028,Saving Private Ryan
215,922,Sunset Blvd. (a.k.a. Sunset Boulevard)
216,914,My Fair Lady
217,905,It Happened One Night
218,539,Sleepless in Seattle
219,3527,Predator
220,110,Braveheart
221,1358,Sling Blade
222,2300,"Producers, The"
223,111,Taxi Driver
224,1210,Star Wars: Episode VI - Return of the Jedi
225,1387,Jaws
226,3753,"Patriot, The"
227,608,Fargo
228,1265,Groundhog Day
229,1097,E.T. the Extra-Terrestrial
230,364,"Lion King, The"
231,2987,Who Framed Roger Rabbit?
232,480,Jurassic Park
233,2918,Ferris Bueller's Day Off
234,3510,Frequency
235,2858,American Beauty
236,1233,"Boat, The (Das Boot)"
237,555,True Romance
238,920,Gone with the Wind
239,2763,"Thomas Crown Affair, The"
240,3893,Nurse Betty
241,3948,Meet the Parents
242,924,2001: A Space Odyssey
243,2762,"Sixth Sense, The"
244,527,Schindler's List
245,2396,Shakespeare in Love
246,2763,"Thomas Crown Affair, The"
247,2987,Who Framed Roger Rabbit?
248,356,Forrest Gump
249,2762,"Sixth Sense, The"
250,1136,Monty Python and the Holy Grail
251,1200,Aliens
252,2858,American Beauty
253,527,Schindler's List
254,2987,Who Framed Roger Rabbit?
255,47,Seven (Se7en)
256,2746,Little Shop of Horrors
257,1210,Star Wars: Episode VI - Return of the Jedi
258,260,Star Wars: Episode IV - A New Hope
259,780,Independence Day (ID4)
260,2395,Rushmore
261,480,Jurassic Park
262,3578,Gladiator
263,608,Fargo
264,150,Apollo 13
265,1204,Lawrence of Arabia
266,3327,Beyond the Mat
267,2987,Who Framed Roger Rabbit?
268,1584,Contact
269,2396,Shakespeare in Love
270,110,Braveheart
271,589,Terminator 2: Judgment Day
272,1196,Star Wars: Episode V - The Empire Strikes Back
273,2762,"Sixth Sense, The"
274,3160,Magnolia
275,589,Terminator 2: Judgment Day
276,3176,"Talented Mr. Ripley, The"
277,50,"Usual Suspects, The"
278,2396,Shakespeare in Love
279,1580,Men in Black
280,2959,Fight Club
281,2203,Shadow of a Doubt
282,3556,"Virgin Suicides, The"
283,904,Rear Window
284,2918,Ferris Bueller's Day Off
285,296,Pulp Fiction
286,2959,Fight Club
287,110,Braveheart
288,1101,Top Gun
289,1610,"Hunt for Red October, The"
290,1259,Stand by Me
291,2700,"South Park: Bigger, Longer and Uncut"
292,2918,Ferris Bueller's Day Off
293,1719,"Sweet Hereafter, The"
294,2599,Election
295,2763,"Thomas Crown Affair, The"
296,1240,"Terminator, The"
297,2355,"Bug's Life, A"
298,1246,Dead Poets Society
299,2762,"Sixth Sense, The"
300,1210,Star Wars: Episode VI - Return of the Jedi
301,2959,Fight Club
302,858,"Godfather, The"
303,2959,Fight Club
304,3727,Near Dark
305,1927,All Quiet on the Western Front
306,1198,Raiders of the Lost Ark
307,2858,American Beauty
308,2947,Goldfinger
309,1219,Psycho
310,1222,Full Metal Jacket
311,1356,Star Trek: First Contact
312,1183,"English Patient, The"
313,3300,Pitch Black
314,2858,American Beauty
315,3735,Serpico
316,2571,"Matrix, The"
317,1580,Men in Black
318,2784,"Masque of the Red Death, The"
319,110,Braveheart
320,780,Independence Day (ID4)
321,3114,Toy Story 2
322,480,Jurassic Park
323,778,Trainspotting
324,2762,"Sixth Sense, The"
325,1234,"Sting, The"
326,3176,"Talented Mr. Ripley, The"
327,589,Terminator 2: Judgment Day
328,2396,Shakespeare in Love
329,1358,Sling Blade
330,524,Rudy
331,1958,Terms of Endearment
332,1036,Die Hard
333,3578,Gladiator
334,2028,Saving Private Ryan
335,1230,Annie Hall
336,1240,"Terminator, The"
337,2987,Who Framed Roger Rabbit?
338,539,Sleepless in Seattle
339,2706,American Pie
340,2968,Time Bandits
341,1214,Alien
342,2804,"Christmas Story, A"
343,316,Stargate
344,588,Aladdin
345,318,"Shawshank Redemption, The"
346,2916,Total Recall
347,1270,Back to the Future
348,1347,"Nightmare on Elm Street, A"
349,1584,Contact
350,1089,Reservoir Dogs
351,2987,Who Framed Roger Rabbit?
352,3916,Remember the Titans
353,2858,American Beauty
354,1097,E.T. the Extra-Terrestrial
355,1214,Alien
356,2000,Lethal Weapon
357,2987,Who Framed Roger Rabbit?
358,1722,Tomorrow Never Dies
359,1617,L.A. Confidential
360,1084,Bonnie and Clyde
361,3769,Thunderbolt and Lightfoot
362,2997,Being John Malkovich
363,593,"Silence of the Lambs, The"
364,2987,Who Framed Roger Rabbit?
365,2987,Who Framed Roger Rabbit?
366,2987,Who Framed Roger Rabbit?
367,785,Kingpin
368,457,"Fugitive, The"
369,1196,Star Wars: Episode V - The Empire Strikes Back
370,2959,Fight Club
371,2366,King Kong
372,858,"Godfather, The"
373,1248,Touch of Evil
374,356,Forrest Gump
375,1028,Mary Poppins
376,260,Star Wars: Episode IV - A New Hope
377,1266,Unforgiven
378,223,Clerks
379,2140,"Dark Crystal, The"
380,2959,Fight Club
381,780,Independence Day (ID4)
382,1291,Indiana Jones and the Last Crusade
383,2338,I Still Know What You Did Last Summer
384,745,"Close Shave, A"
385,1270,Back to the Future
386,457,"Fugitive, The"
387,2762,"Sixth Sense, The"
388,527,Schindler's List
389,1090,Platoon
390,608,Fargo
391,541,Blade Runner
392,1206,"Clockwork Orange, A"
393,953,It's a Wonderful Life
394,1265,Groundhog Day
395,1240,"Terminator, The"
396,539,Sleepless in Seattle
397,1247,"Graduate, The"
398,364,"Lion King, The"
399,541,Blade Runner
400,597,Pretty Woman
401,1784,As Good As It Gets
402,2961,"Story of Us, The"
403,1627,U Turn
404,593,"Silence of the Lambs, The"
405,2987,Who Framed Roger Rabbit?
406,2858,American Beauty
407,2289,"Player, The"
408,2791,Airplane!
409,1094,"Crying Game, The"
410,3735,Serpico
411,2762,"Sixth Sense, The"
412,2628,Star Wars: Episode I - The Phantom Menace
413,2959,Fight Club
414,111,Taxi Driver
415,2396,Shakespeare in Love
416,1198,Raiders of the Lost Ark
417,1748,Dark City
418,2959,Fight Club
419,1304,Butch Cassidy and the Sundance Kid
420,1230,Annie Hall
421,2762,"Sixth Sense, The"
422,2762,"Sixth Sense, The"
423,3156,Bicentennial Man
424,318,"Shawshank Redemption, The"
425,110,Braveheart
426,2081,"Little Mermaid, The"
427,3307,City Lights
428,1089,Reservoir Dogs
429,3623,Mission: Impossible 2
430,593,"Silence of the Lambs, The"
431,223,Clerks
432,2987,Who Framed Roger Rabbit?
433,110,Braveheart
434,1196,Star Wars: Episode V - The Empire Strikes Back
435,2763,"Thomas Crown Affair, The"
436,1247,"Graduate, The"
437,2858,American Beauty
438,2861,For Love of the Game
439,457,"Fugitive, The"
440,2687,Tarzan
441,1704,Good Will Hunting
442,50,"Usual Suspects, The"
443,2394,"Prince of Egypt, The"
444,3512,Return to Me
445,589,Terminator 2: Judgment Day
446,3256,Patriot Games
447,1345,Carrie
448,2396,Shakespeare in Love
449,3005,"Bone Collector, The"
450,1959,Out of Africa
451,3623,Mission: Impossible 2
452,912,Casablanca
453,3512,Return to Me
454,589,Terminator 2: Judgment Day
455,1127,"Abyss, The"
456,3175,Galaxy Quest
457,47,Seven (Se7en)
458,1682,"Truman Show, The"
459,50,"Usual Suspects, The"
460,1721,Titanic
461,3543,Diner
462,3578,Gladiator
463,2599,Election
464,2987,Who Framed Roger Rabbit?
465,2706,American Pie
466,2763,"Thomas Crown Affair, The"
467,1732,"Big Lebowski, The"
468,3751,Chicken Run
469,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
470,1387,Jaws
471,2987,Who Framed Roger Rabbit?
472,2599,Election
473,2089,"Rescuers Down Under, The"
474,1291,Indiana Jones and the Last Crusade
475,1242,Glory
476,2987,Who Framed Roger Rabbit?
477,2662,"War of the Worlds, The"
478,1784,As Good As It Gets
479,3147,"Green Mile, The"
480,2692,Run Lola Run (Lola rennt)
481,1610,"Hunt for Red October, The"
482,3578,Gladiator
483,593,"Silence of the Lambs, The"
484,2762,"Sixth Sense, The"
485,858,"Godfather, The"
486,1387,Jaws
487,2881,Double Jeopardy
488,260,Star Wars: Episode IV - A New Hope
489,2333,Gods and Monsters
490,1196,Star Wars: Episode V - The Empire Strikes Back
491,3527,Predator
492,1617,L.A. Confidential
493,1653,Gattaca
494,2759,Dick
495,3176,"Talented Mr. Ripley, The"
496,368,Maverick
497,3147,"Green Mile, The"
498,1307,When Harry Met Sally...
499,1198,Raiders of the Lost Ark
500,608,Fargo
501,1291,Indiana Jones and the Last Crusade
502,2396,Shakespeare in Love
503,2763,"Thomas Crown Affair, The"
504,2021,Dune
505,1344,Cape Fear
506,1097,E.T. the Extra-Terrestrial
507,364,"Lion King, The"
508,1221,"Godfather: Part II, The"
